option	alpha	beta	num_valid_clusters	largest_cluster	num_edges_in_clustergraph	num_clusters	go_enrichment	adhd_genes	adhd_enriched_genes	autism_genes	autism_enriched_genes	bipolar_genes	bipolar_enriched_genes	mdd_genes	mdd_enriched_genes	schizophrenia_genes	schizophrenia_enriched_genes	gd_mean	gd_min	gd_25%	gd_75%	gd_max	md_mean	md_min	md_25%	md_75%	md_max
4	0.23	0.65	102	776	312392	102.0	58.0	14.0	2.0	12.0	8.0	1.0	0.0	3.0	0.0	16.0	5.0	20.8	1.0	1.0	11.0	88.0	35.922330097087375	4.0	8.0	30.0	692.0
4	0.23	0.66	108	725	277169	108.0	58.0	14.0	2.0	12.0	6.0	1.0	0.0	3.0	3.0	16.0	7.0	21.6	1.0	1.0	9.0	95.0	39.80733944954128	4.0	8.0	33.0	700.0
4	0.23	0.67	105	550	178887	105.0	58.0	14.0	2.0	12.0	4.0	1.0	0.0	3.0	0.0	16.0	5.0	18.0	1.0	1.0	5.25	96.0	41.37735849056604	4.0	7.0	31.25	770.0
4	0.23	0.68	106	612	207288	106.0	61.0	14.0	2.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	5.0	35.333333333333336	1.0	4.5	52.5	97.0	36.38317757009346	4.0	7.5	31.5	735.0
4	0.23	0.69	115	571	184581	115.0	60.0	14.0	2.0	12.0	6.0	1.0	0.0	3.0	0.0	16.0	5.0	19.5	1.0	1.0	5.0	106.0	35.94827586206897	4.0	7.0	31.25	736.0
4	0.23	0.7	124	551	170099	124.0	60.0	14.0	2.0	12.0	4.0	1.0	0.0	3.0	0.0	16.0	4.0	25.2	1.0	1.0	6.0	116.0	35.312	3.0	8.0	30.0	751.0
4	0.23	0.71	123	478	132780	123.0	61.0	14.0	3.0	12.0	6.0	1.0	0.0	3.0	0.0	16.0	3.0	31.0	1.0	1.0	34.5	114.0	31.096774193548388	3.0	7.0	31.0	799.0
4	0.23	0.72	119	448	126289	119.0	62.0	14.0	3.0	12.0	5.0	1.0	0.0	3.0	2.0	16.0	9.0	20.333333333333332	1.0	1.25	5.75	109.0	33.68333333333333	4.0	7.0	29.0	789.0
4	0.23	0.73	124	370	92088	124.0	59.0	14.0	2.0	12.0	5.0	1.0	0.0	3.0	0.0	16.0	9.0	24.8	1.0	1.0	3.0	118.0	28.152	4.0	6.0	20.0	828.0
4	0.23	0.74	118	338	80915	118.0	60.0	14.0	2.0	12.0	4.0	1.0	0.0	3.0	0.0	16.0	0.0	39.333333333333336	1.0	1.5	58.5	115.0	28.016806722689076	4.0	6.0	20.5	845.0
4	0.24	0.65	74	814	344014	74.0	60.0	14.0	2.0	12.0	10.0	1.0	0.0	3.0	0.0	16.0	8.0	15.0	1.0	1.0	11.0	61.0	49.626666666666665	4.0	8.0	41.5	716.0
4	0.24	0.66	79	770	311512	79.0	49.0	14.0	2.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	15.8	1.0	1.0	10.0	66.0	45.675	4.0	8.0	33.75	723.0
4	0.24	0.67	86	589	190014	86.0	58.0	14.0	2.0	12.0	4.0	1.0	0.0	3.0	0.0	16.0	0.0	21.5	1.0	1.0	25.5	75.0	37.44827586206897	4.0	7.0	34.0	785.0
4	0.24	0.68	81	594	192641	81.0	56.0	14.0	2.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	6.0	40.5	10.0	25.25	55.75	71.0	39.41463414634146	4.0	7.0	36.25	788.0
4	0.24	0.69	79	542	166038	79.0	61.0	14.0	2.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	19.75	1.0	1.0	23.25	69.0	36.675	4.0	6.0	28.25	812.0
4	0.24	0.7	82	518	153129	82.0	60.0	14.0	2.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	27.333333333333332	1.0	3.5	40.5	75.0	37.903614457831324	4.0	6.5	32.0	812.0
4	0.24	0.71	92	534	160205	92.0	58.0	14.0	2.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	9.0	19.0	1.0	1.0	7.0	85.0	36.193548387096776	4.0	7.0	32.0	794.0
4	0.24	0.72	88	460	124712	88.0	55.0	14.0	2.0	12.0	5.0	1.0	0.0	3.0	0.0	16.0	5.0	44.0	3.0	23.5	64.5	85.0	33.86516853932584	4.0	6.0	23.0	829.0
4	0.24	0.73	101	384	97446	101.0	57.0	14.0	2.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	9.0	25.5	1.0	1.0	26.5	97.0	30.784313725490197	3.0	6.0	17.0	862.0
4	0.24	0.74	108	236	54169	108.0	58.0	14.0	2.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	8.0	54.0	1.0	27.5	80.5	107.0	23.38532110091743	3.0	6.0	14.0	902.0
4	0.3	0.5	9	1411	995327	9.0	21.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	3.0	2.0	2.0	3.5	5.0	174.4	5.0	6.75	210.25	1028.0
4	0.3	0.6	68	829	353361	68.0	52.0	14.0	3.0	12.0	6.0	1.0	1.0	3.0	2.0	16.0	5.0	23.0	1.0	5.5	34.0	58.0	43.88405797101449	4.0	7.0	36.0	655.0
4	0.3	0.7	69	638	227608	69.0	56.0	14.0	2.0	12.0	7.0	1.0	0.0	3.0	0.0	16.0	3.0	23.0	1.0	3.5	34.0	62.0	55.8	4.0	8.0	41.5	813.0
4	0.3	0.8	74	89	30140	74.0	51.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	74.0	74.0	74.0	74.0	74.0	27.08	3.0	6.0	15.0	1082.0
4	0.3	0.9	82	79	29553	82.0	50.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	82.0	82.0	82.0	82.0	82.0	27.542168674698797	3.0	6.5	18.0	1090.0
4	0.4	0.5	8	1364	930604	8.0	22.0	14.0	14.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	4.0	2.0	3.0	5.0	6.0	195.88888888888889	6.0	9.0	55.0	1260.0
4	0.4	0.6	46	943	456562	46.0	42.0	14.0	2.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	6.0	15.333333333333334	1.0	4.5	22.5	37.0	56.191489361702125	5.0	10.5	41.0	769.0
4	0.4	0.7	54	586	191991	54.0	57.0	14.0	2.0	12.0	6.0	1.0	0.0	3.0	0.0	16.0	10.0	18.333333333333332	3.0	3.5	26.0	48.0	67.0	6.0	13.0	51.0	852.0
4	0.4	0.8	48	90	30053	48.0	47.0	14.0	2.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	48.0	48.0	48.0	48.0	48.0	39.57142857142857	4.0	8.0	17.0	1194.0
4	0.4	0.9	57	79	29477	57.0	47.0	14.0	2.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	57.0	57.0	57.0	57.0	57.0	37.87931034482759	4.0	8.0	24.75	1188.0
4	0.5	0.5	5	1403	984840	5.0	20.0	14.0	14.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	2.5	2.0	2.25	2.75	3.0	295.8333333333333	12.0	51.25	222.25	1299.0
4	0.5	0.6	38	1047	556904	38.0	45.0	14.0	0.0	12.0	5.0	1.0	0.0	3.0	0.0	16.0	0.0	12.666666666666666	1.0	4.5	18.5	29.0	77.05128205128206	9.0	10.5	70.0	802.0
4	0.5	0.7	26	566	182066	26.0	52.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	8.0	5.6	1.0	2.0	2.0	21.0	97.96296296296296	10.0	14.5	88.0	926.0
4	0.5	0.8	26	90	30056	26.0	44.0	14.0	0.0	12.0	2.0	1.0	0.0	3.0	0.0	16.0	0.0	26.0	26.0	26.0	26.0	26.0	67.14814814814815	7.0	10.5	21.0	1278.0
4	0.5	0.9	33	76	29353	33.0	44.0	14.0	0.0	12.0	2.0	1.0	0.0	3.0	0.0	16.0	0.0	33.0	33.0	33.0	33.0	33.0	59.705882352941174	7.0	12.5	30.75	1281.0
4	0.6	0.5	2	55	71240																						
4	0.6	0.6	24	983	494338	24.0	42.0	14.0	0.0	12.0	11.0	1.0	0.0	3.0	3.0	16.0	4.0	12.0	5.0	8.5	15.5	19.0	105.84	9.0	22.0	106.0	847.0
4	0.6	0.7	13	93	41328	13.0	28.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	13.0	13.0	13.0	13.0	13.0	125.14285714285714	10.0	12.75	45.75	1374.0
4	0.6	0.8	16	92	30047	16.0	29.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	16.0	16.0	16.0	16.0	16.0	103.11764705882354	10.0	12.0	33.0	1354.0
4	0.6	0.9	25	76	29321	25.0	40.0	14.0	2.0	12.0	2.0	1.0	0.0	3.0	0.0	16.0	0.0	25.0	25.0	25.0	25.0	25.0	77.38461538461539	10.0	15.0	34.5	1333.0
4	0.7	0.5	2	55	101531																						
4	0.7	0.6	9	1064	572354	9.0	41.0	14.0	2.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	7.0	4.5	3.0	3.75	5.25	6.0	220.3	22.0	37.25	224.75	963.0
4	0.7	0.7	15	593	196535	15.0	46.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	7.5	2.0	4.75	10.25	13.0	175.625	10.0	45.75	149.5	938.0
4	0.7	0.8	16	97	30554	16.0	28.0	14.0	2.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	16.0	16.0	16.0	16.0	16.0	103.82352941176471	10.0	12.0	33.0	1363.0
4	0.7	0.9	22	76	29313	22.0	39.0	14.0	2.0	12.0	2.0	1.0	0.0	3.0	0.0	16.0	0.0	22.0	22.0	22.0	22.0	22.0	85.21739130434783	10.0	13.5	36.0	1362.0
4	0.8	0.5	2	55	134608																						
4	0.8	0.6	9	1037	546387	9.0	36.0	14.0	6.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	4.5	2.0	3.25	5.75	7.0	242.6	31.0	50.25	264.5	955.0
4	0.8	0.7	6	624	209115	6.0	38.0	14.0	2.0	12.0	8.0	1.0	0.0	3.0	0.0	16.0	0.0	3.0	2.0	2.5	3.5	4.0	249.85714285714286	10.0	22.5	325.5	993.0
4	0.8	0.8	14	97	30527	14.0	28.0	14.0	0.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	14.0	14.0	14.0	14.0	14.0	116.73333333333333	10.0	11.5	40.5	1376.0
4	0.8	0.9	19	76	29311	19.0	39.0	14.0	0.0	12.0	2.0	1.0	0.0	3.0	0.0	16.0	0.0	19.0	19.0	19.0	19.0	19.0	95.55	10.0	14.25	38.5	1377.0
4	0.9	0.5	2	55	182768																						
4	0.9	0.6	2	50	23288																						
4	0.9	0.7	6	109	64289	6.0	20.0	14.0	2.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	6.0	6.0	6.0	6.0	6.0	241.0	10.0	11.0	79.5	1463.0
4	0.9	0.8	13	49	30454	13.0	22.0	14.0	2.0	12.0	0.0	1.0	0.0	3.0	0.0	16.0	0.0	13.0	13.0	13.0	13.0	13.0	123.0	10.0	11.25	27.0	1480.0
4	0.9	0.9	19	76	29311	19.0	35.0	14.0	2.0	12.0	2.0	1.0	0.0	3.0	0.0	16.0	0.0	19.0	19.0	19.0	19.0	19.0	93.0	10.0	12.0	33.5	1379.0
